nom;identifiant;groupe;animation;animationExiste;termeAnglais
Abducteurs Machine Debout;abducteurs-machine-debout;Fessiers;;false;standing hip abduction machine
Abduction Cuisses (Leg Abduction);abduction-cuisses-leg-abduction;Fessiers;exercises/leg-abduction-machine-v2.webp;true;hip abduction machine
Adduction Cuisses (Leg Adduction);adduction-cuisses-leg-adduction;Jambes;exercises/leg-adduction-machine-v2.webp;true;hip adduction machine
Arraché Debout (Muscle Snatch);arrache-debout-muscle-snatch;Full Body;exercises/muscle-snatch-halterophilie.webp;true;barbell muscle snatch
Arraché Haltère (Dumbbell Snatch);arrache-haltere-dumbbell-snatch;Full Body;;false;dumbbell snatch
Assault Air Bike;assault-air-bike;Full Body;exercises/assault-air-bike.webp;true;assault air bike
Barre au Front;barre-au-front;Triceps;exercises/barre-au-front-triceps.webp;true;skull crusher
Battle Rope;battle-rope;Full Body;;false;battle rope waves
Belt Squat;belt-squat;Jambes;exercises/belt-squat.webp;true;
Bench Dips;bench-dips;Triceps;exercises/bench-dips-sur-banc.webp;true;bench dip
Bird Dog;bird-dog;Lombaires;exercises/bird-dog.webp;true;bird dog exercise
Box Jump;box-jump;Full Body;exercises/box-jump.webp;true;box jump plyometric
Burpees;burpees;Full Body;exercises/burpees.webp;true;burpee
Chaise (Wall Sit);chaise-wall-sit;Jambes;exercises/squat-statique-contre-mur-exercice-chaise.webp;true;
Chaise Romaine;chaise-romaine;Abdominaux;;false;captain chair leg raise
Chariot de Puissance — Curl Biceps;chariot-de-puissance-curl-biceps;Biceps;exercises/chariot-curl-biceps.webp;true;power sled biceps curl
Chariot de Puissance — Extension Triceps;chariot-de-puissance-extension-triceps;Triceps;exercises/chariot-extension-triceps.webp;true;power sled triceps extension
Chariot de Puissance — Fentes Arrière;chariot-de-puissance-fentes-arriere;Jambes;exercises/chariot-fentes-arriere.webp;true;power sled reverse lunge
Chariot de Puissance — Poussée;chariot-de-puissance-poussee;Full Body;exercises/chariot-poussee.webp;true;power sled push
Chariot de Puissance — Tirage de Côté;chariot-de-puissance-tirage-de-cote;Dos;exercises/chariot-tirage-de-cote.webp;true;power sled lateral pull
Chariot de Puissance — Tirage Dos;chariot-de-puissance-tirage-dos;Dos;exercises/chariot-tirage-dos.webp;true;power sled row
Chariot de Puissance — Tirage en Avançant;chariot-de-puissance-tirage-en-avancant;Full Body;exercises/chariot-tirage-avance.webp;true;power sled pull forward
Chariot de Puissance — Tirage Épaules;chariot-de-puissance-tirage-epaules;Épaules;exercises/chariot-tirage-epaules.webp;true;power sled shoulder raise
Chariot de Puissance — Tirage Inversé Jambes;chariot-de-puissance-tirage-inverse-jambes;Jambes;exercises/chariot-tirage-inverse-jambes.webp;true;power sled reverse drag
Chest Press Machine Déclinée;chest-press-machine-declinee;Pectoraux;exercises/chest-press-machine-declinee.webp;true;decline chest press machine
Chest Press Machine Horizontale;chest-press-machine-horizontale;Pectoraux;exercises/developpe-machine-assis-pectoraux.webp;true;chest press machine
Chest Press Machine Inclinée;chest-press-machine-inclinee;Pectoraux;exercises/developpe-incline-machine-convergente-exercice-musculation.webp;true;incline chest press machine
Chest Press Poulie Assis;chest-press-poulie-assis;Pectoraux;exercises/chest-press-poulie-assis.webp;true;seated cable chest press
Chest Press TRX (Sangles);chest-press-trx-sangles;Pectoraux;exercises/chest-press-trx-sangles.webp;true;trx chest press
Clean & Jerk;clean-jerk;Full Body;exercises/epaule-jete-halterophilie.webp;true;clean and jerk
