nom;identifiant;groupe;musclesPrincipauxFr;musclesSecondairesFr;schemaLibelle;materielLibelle;met;role;termeAnglais;animation;musclesEcrits;classementCertain
Abducteurs Machine Debout;abducteurs-machine-debout;Fessiers;Fessiers;;Abduction / adduction de hanche;"Guidé (machine, poulie)";4;accessoire;standing hip abduction machine;;true;true
Abduction Cuisses (Leg Abduction);abduction-cuisses-leg-abduction;Fessiers;Fessiers;;Abduction / adduction de hanche;"Guidé (machine, poulie)";4;accessoire;hip abduction machine;exercises/leg-abduction-machine-v2.webp;true;true
Adduction Cuisses (Leg Adduction);adduction-cuisses-leg-adduction;Jambes;Fessiers;Quadriceps;Abduction / adduction de hanche;"Guidé (machine, poulie)";4;accessoire;hip adduction machine;exercises/leg-adduction-machine-v2.webp;true;true
Arraché Debout (Muscle Snatch);arrache-debout-muscle-snatch;Full Body;Fessiers + Ischio-jambiers + Trapèzes;Abdominaux + Avant-bras + Deltoïde antérieur + Quadriceps + Deltoïde moyen;Haltérophilie (explosif);Polyvalent / non déterminé;8;ancre;barbell muscle snatch;exercises/muscle-snatch-halterophilie.webp;true;true
Arraché Haltère (Dumbbell Snatch);arrache-haltere-dumbbell-snatch;Full Body;Fessiers + Ischio-jambiers + Trapèzes;Abdominaux + Avant-bras + Deltoïde antérieur + Quadriceps + Deltoïde moyen;Haltérophilie (explosif);"Poids libre (haltères, kettlebell)";8;ancre;dumbbell snatch;;true;true
Assault Air Bike;assault-air-bike;Full Body;Deltoïde antérieur + Quadriceps;Abdominaux + Fessiers + Ischio-jambiers + Grand dorsal;Cardio / conditionnement;Cardio / conditionnement;8;accessoire;assault air bike;exercises/assault-air-bike.webp;true;true
Barre au Front;barre-au-front;Triceps;Triceps;Deltoïde antérieur;Extension du coude (triceps);Barre;4;accessoire;skull crusher;exercises/barre-au-front-triceps.webp;true;true
Battle Rope;battle-rope;Full Body;Abdominaux + Deltoïde antérieur;Biceps + Avant-bras + Grand dorsal + Quadriceps + Triceps;Cardio / conditionnement;Cardio / conditionnement;8;accessoire;battle rope waves;;true;true
Belt Squat;belt-squat;Jambes;Fessiers + Quadriceps;Mollets + Ischio-jambiers;Squat (flexion hanche+genou);"Guidé (machine, poulie)";6.5;ancre;;exercises/belt-squat.webp;true;true
Bench Dips;bench-dips;Triceps;Triceps;Deltoïde antérieur + Pectoraux;Poussée horizontale (pectoraux);Poids du corps;5.5;ancre;bench dip;exercises/bench-dips-sur-banc.webp;true;true
Bird Dog;bird-dog;Lombaires;Abdominaux + Lombaires;Fessiers + Obliques;Gainage / abdominaux;Polyvalent / non déterminé;5.5;accessoire;bird dog exercise;exercises/bird-dog.webp;true;true
Box Jump;box-jump;Full Body;Fessiers + Quadriceps;Abdominaux + Mollets + Ischio-jambiers;Saut / pliométrie;Cardio / conditionnement;8;accessoire;box jump plyometric;exercises/box-jump.webp;true;true
Burpees;burpees;Full Body;Fessiers + Quadriceps;Abdominaux + Mollets + Deltoïde antérieur + Pectoraux + Triceps;Saut / pliométrie;Cardio / conditionnement;8;accessoire;burpee;exercises/burpees.webp;true;true
Câble Crunch;cable-crunch;Abdominaux;Abdominaux;Obliques;Gainage / abdominaux;"Guidé (machine, poulie)";4;accessoire;cable crunch abdominal;;true;true
Chaise (Wall Sit);chaise-wall-sit;Jambes;Quadriceps;Abdominaux + Fessiers;Squat (flexion hanche+genou);Poids du corps;6.5;ancre;;exercises/squat-statique-contre-mur-exercice-chaise.webp;true;true
Chaise Romaine;chaise-romaine;Abdominaux;Abdominaux + Fléchisseurs de hanche;Obliques;Gainage / abdominaux;Poids du corps;5.5;accessoire;captain chair leg raise;;true;true
Chariot de Puissance — Curl Biceps;chariot-de-puissance-curl-biceps;Biceps;Biceps;Avant-bras;Flexion du coude (biceps);Cardio / conditionnement;4;accessoire;power sled biceps curl;exercises/chariot-curl-biceps.webp;true;true
Chariot de Puissance — Extension Triceps;chariot-de-puissance-extension-triceps;Triceps;Triceps;Deltoïde antérieur;Extension du coude (triceps);Cardio / conditionnement;4;accessoire;power sled triceps extension;exercises/chariot-extension-triceps.webp;true;true
Chariot de Puissance — Fentes Arrière;chariot-de-puissance-fentes-arriere;Jambes;Fessiers + Quadriceps;Abdominaux + Mollets + Ischio-jambiers;Fente;Cardio / conditionnement;6.5;accessoire;power sled reverse lunge;exercises/chariot-fentes-arriere.webp;true;true
Chariot de Puissance — Poussée;chariot-de-puissance-poussee;Full Body;Fessiers + Quadriceps;Abdominaux + Mollets;Squat (flexion hanche+genou);Cardio / conditionnement;6.5;ancre;power sled push;exercises/chariot-poussee.webp;true;true
Chariot de Puissance — Tirage de Côté;chariot-de-puissance-tirage-de-cote;Dos;Grand dorsal + Trapèzes;Biceps + Avant-bras + Obliques + Deltoïde postérieur;Tirage horizontal;Cardio / conditionnement;5.5;ancre;power sled lateral pull;exercises/chariot-tirage-de-cote.webp;true;true
Chariot de Puissance — Tirage Dos;chariot-de-puissance-tirage-dos;Dos;Grand dorsal + Trapèzes;Biceps + Avant-bras + Deltoïde postérieur;Tirage horizontal;Cardio / conditionnement;5.5;ancre;power sled row;exercises/chariot-tirage-dos.webp;true;true
Chariot de Puissance — Tirage en Avançant;chariot-de-puissance-tirage-en-avancant;Full Body;Grand dorsal + Trapèzes;Biceps + Avant-bras + Deltoïde postérieur;Tirage horizontal;Cardio / conditionnement;5.5;ancre;power sled pull forward;exercises/chariot-tirage-avance.webp;true;true
