fichier;ligne;fonction;lignes_de_code;role;champs_touches;appelle_qtyRescale;ecrit_dans_foodLog;fabrique_un_per100
app.js;1020;_foodMealInfo;1;LE REPLI EST NOMMÉ, PAS POSITIONNEL (23/08/2026).;;;;
app.js;1021;_foodAiLeft;1;;;;;
app.js;1022;showFoodWall;1;;;;;
app.js;1023;closeFoodWall;1;;;;;
app.js;1048;_offPoidsPaquet;26;LES VOLUMES SONT EXCLUS EXPRÈS (R30 : un retrait volontaire s'écrit, sinon il redevient un bug).;;;;
app.js;1128;_afSetSrc;1;;_afSrc;;;
app.js;1143;_afNoteEtat;16;UN MESSAGE DIRECT PASSE TEL QUEL (ft-v1114) : cette zone était réservée à un seul cas (les féculents secs, détectés sur le NOM).;etat;;;
app.js;1163;_provFood;67;Construit le bloc de provenance au moment de l'enregistrement.;per100 · q · u · kcal · prot · carbs · fat · etat · origine · saisie · sourceId · _afRef · _afSrc;;;oui
app.js;1244;_bcPhotoFallback;1;;;;;
app.js;1248;_bcHints;8;;;;;
app.js;1294;_bcCaptureFrame;18;Capture manuelle : lit l'image en direct de la caméra (déjà cadrée + focalisée) → décodage ZXing.;;;;
app.js;1339;_offFetchProduct;17;Récupère un produit Open Food Facts — essaie l'API v2 (champs) PUIS v0 (repli).;;;;
app.js;1412;_per100d1;1;═══ 🔢 UNE SEULE PRÉCISION POUR LE POUR-100 g (ft-v1112, R2) ═══════════════════════════════ Michel, après le calibrage à la main : « ça va être comme ça sur tous les produits, c'est chiant ?;;;;
app.js;1455;_bcSansValeurs;23;LE SCAN TROUVE LE PRODUIT, N'A AUCUNE VALEUR, ET LAISSE LA PERSONNE LÀ (ft-v1163) Michel, après trois versions passées sur la même ligne : *« c'est super chiant en fait, même la ratatouille ne change pas les valeurs sur l'onglet poids.;per100 · etat · origine · saisie · sourceId · _bcNutr;;;
app.js;1512;_offRemplirFormulaire;42;`origine` EST UN PARAMÈTRE DEPUIS ft-v1110, ET LE DÉFAUT NE CHANGE RIEN : les quatre appelants existants n'en passent pas et gardent donc `'off'`, au caractère près.;per100 · kcal · prot · carbs · fat · etat · origine · saisie · sourceId · _bcNutr · _bcPaquetG;;;oui
app.js;1566;_calOuvrir;18;═══ CALIBRER UN PRODUIT À LA MAIN (ft-v1110) ═══════════════════════════════════════════ Michel, 4ᵉ passe sur le même pot d'isolat : « il y a toujours le problème avec ma prot… comment on peut résoudre ce problème ».;q · kcal · prot · carbs · fat · saisie;;;
app.js;1584;_calAppliquer;45;On refuse le vide plutôt que d'enregistrer un produit « calibré » à zéro : ce serait une fausse certitude, et elle se propagerait à tous les repas suivants.;kcal · prot · carbs · fat · _bcNutr;;;
