id,nom,groupe,muscles_primaires,muscles_secondaires,pattern,met,unilateral,image_url
developpe-couche,Développé Couché,Pectoraux,pec,front-delt|triceps,poussee-horizontale,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/developpe-couche.webp
developpe-couche-halteres,Développé Couché Haltères,Pectoraux,pec,front-delt|triceps,poussee-horizontale,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/developpe-couche-halteres-exercice-musculation.webp
developpe-incline,Développé Incliné,Pectoraux,pec,front-delt|triceps,poussee-horizontale,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/developpe-incline-barre.webp
developpe-incline-halteres,Développé Incliné Haltères,Pectoraux,pec,front-delt|triceps,poussee-horizontale,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/developpe-incline-halteres-exercice-musculation.webp
developpe-decline,Développé Décliné,Pectoraux,pec,triceps|front-delt,poussee-horizontale,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/developpe-decline-barre.webp
developpe-decline-halteres,Développé Décliné Haltères,Pectoraux,pec,triceps|front-delt,poussee-horizontale,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/developpe-decline-halteres.webp
ecarte-halteres,Écarté Haltères,Pectoraux,pec,front-delt,poussee-horizontale,4,false,
ecarte-poulie,Écarté Poulie,Pectoraux,pec,front-delt,poussee-horizontale,4,false,https://michdu75-commits.github.io/forcetracker/exercises/ecarte-poulie-vis-a-vis-exercice-musculation-pectoraux.webp
croise-poulie-cable-crossover,Croisé Poulie (Cable Crossover),Pectoraux,pec,front-delt,poussee-horizontale,4,false,https://michdu75-commits.github.io/forcetracker/exercises/ecartes-poulie-vis-a-vis.webp
pec-deck,Pec Deck,Pectoraux,pec,front-delt,poussee-horizontale,4,false,https://michdu75-commits.github.io/forcetracker/exercises/pec-deck-butterfly-exercice-musculation.webp
chest-press-machine-horizontale,Chest Press Machine Horizontale,Pectoraux,pec,front-delt|triceps,poussee-horizontale,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/developpe-machine-assis-pectoraux.webp
chest-press-machine-inclinee,Chest Press Machine Inclinée,Pectoraux,pec,front-delt|triceps,poussee-horizontale,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/developpe-incline-machine-convergente-exercice-musculation.webp
chest-press-machine-declinee,Chest Press Machine Déclinée,Pectoraux,pec,triceps|front-delt,poussee-horizontale,5.5,false,https://michdu75-commits.github.io/forcetracker/exercises/chest-press-machine-declinee.webp
